,Name,Season,playerid,weightwRC,weightHR,weightPA,weightAB,weightR,weightH,weight2B,RBIsPredicted,linearSvrRBI,svrRBI,BayesRidgeRBI,HuberRegressorRBI,RidgeRBI,ARDRegressionRBI
469,Bradley Zimmer,2019,16221,-0.8392557193221101,-0.7103404686967245,-0.7948155872436025,-0.7816869398255152,-0.5996245766436116,-0.8035098308163259,-0.6307776139289913,32.389335311060805,31.662910337065995,30.31080996416386,32.33921137902749,32.37696104447491,31.9703995628522,32.365482370261624
134,Ji-Man Choi,2019,5452,-0.8040074459751291,-0.5094495321315238,-1.5281121855335307,-1.5903472379140224,-1.24951247975799,-1.3302878856740321,-0.73427527582327,32.38473758563104,31.602927662342744,30.766094704823978,32.41304714409353,32.612350991747945,32.61540496815635,32.38405733093819
499,Guillermo Heredia,2019,18721,-0.7758088272975442,-0.9815432330597454,-0.5853966488130555,-0.6244062212982091,-0.916444929411871,-0.681393099917494,-0.6721766786867028,33.211919960810434,31.473423523429794,29.656425629126247,33.135769204438105,33.05728429157489,32.53308871805813,33.154705852235324
341,Jorge Bonifacio,2019,12174,-0.8216315826486196,-0.7203850155249845,-0.9031585080720241,-0.9196785136277741,-0.7133549596886276,-0.9352043445307524,-0.5583292506029962,31.152924239578216,31.243303836567957,29.73371560031413,31.181782419379985,31.226887370294154,31.427723729682867,31.176835131252982
418,Daniel Robertson,2019,14145,-0.5361205685380737,-0.7304295623532446,-0.9124072939964017,-1.0502511856127075,-0.6889841633218385,-0.9639376929775363,-0.8067236391492651,30.931413819181014,31.121963515147147,30.15842121993044,30.991174689469112,31.156707297370232,31.47295700603121,30.99142845330672
338,Ben Gamel,2019,12160,-0.47267367651350783,-1.112122341827126,-0.5431164845873299,-0.5324118387633697,-0.38434920873697376,-0.3485651470755795,-0.33063439443558296,29.232010575123656,31.032003699774354,32.48897109049669,29.403905678064426,29.323655899262825,30.77620656239759,29.36645184309199
59,Martin Prado,2019,3312,-0.7229364172770728,-1.2025232632814662,-0.717522162018448,-0.6414696954780583,-0.9570629233565195,-0.40842628967304606,-0.3823832253827223,30.805568530908694,30.647586729400977,30.23299463239952,30.880881264964216,30.64885430268885,31.4554466136372,30.8382154901943
19,Jose Reyes,2019,1736,-0.8780288200037891,-0.7404741091815046,-0.6970427074716121,-0.680789875109885,-0.43715260086501706,-0.8633709734137924,-0.5272799520347126,28.62250854012183,30.6164609480578,30.6331686027298,28.770776432880602,28.62221244582149,29.977935066283315,28.74369475804104
277,Adeiny Hechavarria,2019,10459,-1.011972258722317,-0.8810977647771452,-0.6646719567362909,-0.5709901282134637,-0.7742819506056008,-0.5736430432420541,-0.8895217686646881,33.422765829998944,30.526729816139667,28.85645104856187,33.21961122541201,33.06724956537204,31.633114948815713,33.287946993298306
247,Austin Jackson,2019,9848,-0.7440853812852614,-1.122166888655386,-0.7373409889992568,-0.6978533492897341,-0.9001977318340115,-0.5568819233147634,-0.41343252395100594,30.130261880611208,30.34070719187623,29.426069304242485,30.218066026948918,30.042093177810802,30.900931677990478,30.177949704200998
